,id,event,place,country,latitude,longitude,radius,max_hail_diameter,status,datetime
1336,IT_23250,large hail,Monticello Conte Otto ,Italy,45.6,11.58,,2 cm,report confirmed by reliable source,2020-05-02 18:50:00
1337,IT_23249,large hail,Quinto Vicentino ,Italy,45.57,11.65,,2 cm,report confirmed by reliable source,2020-05-02 18:50:00
1338,IT_23251,large hail,Bolzano Vicentino ,Italy,45.6,11.62,,2 cm,report confirmed by reliable source,2020-05-02 18:40:00
1339,IT_23248,large hail,Ruda ,Italy,45.84,13.4,,2 cm,report confirmed by reliable source,2020-05-02 13:00:00
1340,IT_23244,large hail,Bologna ,Italy,44.49,11.34,,3 cm,report confirmed by reliable source,2020-04-29 12:00:00
1341,IT_23239,large hail,Montebelluna ,Italy,45.77,12.04,,2 cm,report confirmed by reliable source,2020-04-14 12:30:00
1342,IT_23238,large hail,Tarcento ,Italy,46.22,13.2,,2 cm,report confirmed by reliable source,2020-04-14 10:19:00
1343,IT_23234,large hail,Ispica ,Italy,36.76,15.0,,2 cm,report confirmed by reliable source,2020-03-27 16:00:00
1344,IT_23195,large hail,Ulassai ,Italy,39.77,9.46,,2 cm,report confirmed by reliable source,2020-01-26 14:15:00
1345,IT_23071,large hail,Tarquinia ,Italy,42.25,11.76,,00 cm,report confirmed by reliable source,2019-11-16 20:00:00
1346,IT_23000,large hail,Gorizia ,Italy,45.93,13.63,,00 cm,report confirmed by reliable source,2019-11-09 04:00:00
1347,IT_22843,large hail,Cento ,Italy,44.76,11.29,,00 cm,report confirmed by reliable source,2019-10-03 02:00:00
1348,IT_22828,large hail,Acireale ,Italy,37.61,15.15,,00 cm,report confirmed by reliable source,2019-10-02 16:30:00
1349,IT_22827,large hail,Milo ,Italy,37.72,15.11,,00 cm,report confirmed by reliable source,2019-10-02 16:30:00
1350,IT_22826,large hail,Zafferana Etnea ,Italy,37.73,15.0,,00 cm,report confirmed by reliable source,2019-10-02 16:15:00
1351,IT_22836,large hail,Casteldaccia ,Italy,38.02,13.5,,00 cm,report confirmed by reliable source,2019-10-02 15:30:00
1352,IT_22832,large hail,Carchitti ,Italy,41.75,12.87,< 1 km,5 cm,report confirmed by reliable source,2019-10-02 13:30:00
1353,IT_22824,large hail,Ferentino ,Italy,41.7,13.26,,00 cm,report confirmed by reliable source,2019-10-02 13:30:00
1354,IT_22823,large hail,Palestrina ,Italy,41.79,12.82,,00 cm,report confirmed by reliable source,2019-10-02 12:30:00
1355,IT_22805,large hail,Viterbo ,Italy,42.42,12.11,,00 cm,report confirmed by reliable source,2019-10-02 10:00:00
1356,IT_22799,large hail,Porto Sant''Elpidio ,Italy,43.25,13.76,,00 cm,report confirmed by reliable source,2019-09-25 18:22:00
1357,IT_22791,large hail,Montecastrilli ,Italy,42.65,12.48,,00 cm,report confirmed by reliable source,2019-09-23 14:00:00
1358,IT_22777,large hail,Mazzarino ,Italy,37.3,14.21,,00 cm,report confirmed by reliable source,2019-09-20 15:30:00
1359,IT_22773,large hail,Ragusa ,Italy,36.92,14.74,,00 cm,report confirmed by reliable source,2019-09-20 12:10:00
1360,IT_22765,large hail,Collesano ,Italy,37.92,13.94,,00 cm,report confirmed by reliable source,2019-09-19 18:00:00
1361,IT_22763,large hail,Corleone ,Italy,37.86,13.23,,00 cm,report confirmed by reliable source,2019-09-19 14:30:00
1362,IT_22768,large hail,Vernole ,Italy,40.39,18.31,,00 cm,report confirmed by reliable source,2019-09-19 12:00:00
1363,IT_22755,large hail,Palagianello ,Italy,40.61,16.97,,00 cm,report confirmed by reliable source,2019-09-19 10:00:00
1364,IT_22754,large hail,Grumo Appula ,Italy,41.02,16.77,,00 cm,report confirmed by reliable source,2019-09-19 09:30:00
1365,IT_22725,large hail,Gragnano Trebbiense ,Italy,45.02,9.57,,00 cm,report confirmed by reliable source,2019-09-08 19:00:00
1366,IT_22735,large hail,Rubano ,Italy,45.42,11.81,,00 cm,report confirmed by reliable source,2019-09-08 18:15:00
1367,IT_22729,large hail,Selvazzano Dentro ,Italy,45.41,11.82,,00 cm,report confirmed by reliable source,2019-09-08 18:15:00
1368,IT_22734,large hail,Monselice ,Italy,45.24,11.75,,00 cm,report confirmed by reliable source,2019-09-08 17:30:00
1369,IT_22727,large hail,Garessio ,Italy,44.22,8.02,,00 cm,report confirmed by reliable source,2019-09-08 16:00:00
1370,IT_22724,large hail,Borgio Verezzi ,Italy,44.16,8.31,,00 cm,report confirmed by reliable source,2019-09-08 16:00:00
1371,IT_22723,large hail,Calizzano ,Italy,44.24,8.11,,,report confirmed by reliable source,2019-09-08 16:00:00
1372,IT_22722,large hail,Chieri ,Italy,45.01,7.83,,00 cm,report confirmed by reliable source,2019-09-08 15:30:00
1373,IT_22741,large hail,Motta di Livenza ,Italy,45.78,12.61,,00 cm,report confirmed by reliable source,2019-09-08 10:00:00
1374,IT_22730,large hail,Alano di Piave ,Italy,45.9,11.9,,,report confirmed by reliable source,2019-09-08 08:00:00
1375,IT_22709,large hail,Bitritto ,Italy,41.04,16.82,,00 cm,report confirmed by reliable source,2019-09-07 13:00:00
1376,IT_22707,large hail,Bari ,Italy,41.07,16.86,,00 cm,report confirmed by reliable source,2019-09-07 13:00:00
1377,IT_22706,large hail,Melendugno ,Italy,40.29,18.36,,00 cm,report confirmed by reliable source,2019-09-07 13:00:00
1378,IT_22688,large hail,Monterubbiano ,Italy,43.09,13.72,,00 cm,report confirmed by reliable source,2019-09-06 13:15:00
1379,IT_22696,large hail,Mesagne ,Italy,40.56,17.81,,00 cm,report confirmed by reliable source,2019-09-06 13:00:00
1380,IT_22687,large hail,Fermo ,Italy,43.35,13.42,,,report confirmed by reliable source,2019-09-06 12:30:00
1381,IT_22702,large hail,Este ,Italy,45.23,11.66,,00 cm,report confirmed by reliable source,2019-09-06 07:25:00
1382,IT_22680,large hail,Genova ,Italy,44.39,9.01,,,report confirmed by reliable source,2019-09-05 19:00:00
1383,IT_22673,large hail,Diano d''Alba ,Italy,44.65,8.03,,00 cm,report confirmed by reliable source,2019-09-05 16:00:00
1384,IT_22607,large hail,Medolla ,Italy,44.85,11.07,,00 cm,report confirmed by reliable source,2019-08-31 15:15:00
1385,IT_22598,large hail,Nemi ,Italy,41.72,12.72,,00 cm,report confirmed by reliable source,2019-08-31 12:00:00
1386,IT_22597,large hail,Albano Laziale ,Italy,41.73,12.66,,00 cm,report confirmed by reliable source,2019-08-31 12:00:00
1387,IT_22596,large hail,Ariccia ,Italy,41.72,12.67,< 3 km,00 cm,report confirmed by reliable source,2019-08-31 11:45:00
1388,IT_22613,large hail,Castiglione di Garfagnana ,Italy,44.19,10.46,,00 cm,report confirmed by reliable source,2019-08-29 14:00:00
1389,IT_22584,large hail,Budoia ,Italy,46.05,12.54,,00 cm,report confirmed by reliable source,2019-08-26 16:45:00
1390,IT_22583,large hail,Pomarico ,Italy,40.51,16.55,,00 cm,report confirmed by reliable source,2019-08-26 16:00:00
1391,IT_22576,large hail,Santo Stefano d''Aveto ,Italy,44.55,9.45,,00 cm,report confirmed by reliable source,2019-08-25 14:30:00
1392,IT_22573,large hail,Silea ,Italy,45.65,12.3,,00 cm,report confirmed by reliable source,2019-08-24 16:15:00
1393,IT_22572,large hail,San Biagio di Callalta ,Italy,45.67,12.33,,00 cm,report confirmed by reliable source,2019-08-24 16:15:00
1394,IT_22567,large hail,Montemonaco ,Italy,42.9,13.32,,00 cm,report confirmed by reliable source,2019-08-24 13:30:00
1395,IT_22570,large hail,Chiopris-Viscone ,Italy,45.93,13.39,,00 cm,report confirmed by reliable source,2019-08-24 13:00:00
1396,IT_22568,large hail,San Giustino ,Italy,43.55,12.17,,00 cm,report confirmed by reliable source,2019-08-24 13:00:00
1397,IT_22581,large hail,San Dorligo della Valle ,Italy,45.6,13.86,,00 cm,report confirmed by reliable source,2019-08-24 11:00:00
1398,IT_22563,large hail,Lubriano ,Italy,42.64,12.16,,00 cm,report confirmed by reliable source,2019-08-23 14:30:00
1399,IT_22551,large hail,Ponzano Romano ,Italy,42.26,12.57,,00 cm,report confirmed by reliable source,2019-08-23 13:30:00
1400,IT_22548,large hail,Guidonia Montecelio ,Italy,41.98,12.77,,00 cm,report confirmed by reliable source,2019-08-23 13:00:00
1401,IT_22547,large hail,Pelago ,Italy,43.8,11.54,,00 cm,report confirmed by reliable source,2019-08-23 12:45:00
1402,IT_22558,large hail,Arezzo ,Italy,43.46,11.88,,00 cm,report confirmed by reliable source,2019-08-22 15:00:00
1403,IT_22533,large hail,Ascoli Piceno ,Italy,42.85,13.56,,00 cm,report confirmed by reliable source,2019-08-22 15:00:00
1404,IT_22561,large hail,Gaiarine ,Italy,45.88,12.48,,00 cm,report confirmed by reliable source,2019-08-21 15:00:00
1405,IT_22530,large hail,Moggio Udinese ,Italy,46.46,13.2,,00 cm,report confirmed by reliable source,2019-08-21 14:45:00
1406,IT_22522,large hail,Morbegno ,Italy,46.14,9.57,,00 cm,report confirmed by reliable source,2019-08-20 18:15:00
1407,IT_22525,large hail,Introzzo ,Italy,46.09,9.36,,00 cm,report confirmed by reliable source,2019-08-20 18:00:00
1408,IT_22500,large hail,Legnago ,Italy,45.19,11.3,,00 cm,report confirmed by reliable source,2019-08-14 02:50:00
1409,IT_22501,large hail,Verona ,Italy,45.44,10.99,,00 cm,report confirmed by reliable source,2019-08-14 01:15:00
1410,IT_22499,large hail,San Giovanni Lupatoto ,Italy,45.38,11.04,,00 cm,report confirmed by reliable source,2019-08-14 01:15:00
1411,IT_22498,large hail,Isola Rizza ,Italy,45.27,11.19,,00 cm,report confirmed by reliable source,2019-08-14 01:15:00
1412,IT_22487,large hail,Ariano nel Polesine ,Italy,44.94,12.22,,00 cm,report confirmed by reliable source,2019-08-13 19:30:00
1413,IT_22491,large hail,Rossano Veneto ,Italy,45.7,11.8,,00 cm,report confirmed by reliable source,2019-08-13 18:30:00
1414,IT_22490,large hail,Rosà ,Italy,45.7,11.78,,00 cm,report confirmed by reliable source,2019-08-13 18:30:00
1415,IT_22485,large hail,Piazzola sul Brenta ,Italy,45.54,11.79,,00 cm,report confirmed by reliable source,2019-08-13 18:05:00
1416,IT_22489,large hail,Camisano Vicentino ,Italy,45.52,11.71,,00 cm,report confirmed by reliable source,2019-08-13 18:00:00
1417,IT_22488,large hail,Mestrino ,Italy,45.44,11.76,,,report confirmed by reliable source,2019-08-13 18:00:00
1418,IT_22513,large hail,Massa Fiscaglia ,Italy,44.78,11.92,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1419,IT_22512,large hail,Codigoro ,Italy,44.83,12.11,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1420,IT_22510,large hail,Ostellato ,Italy,44.74,11.94,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1421,IT_22509,large hail,Migliarino ,Italy,44.78,11.94,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1422,IT_22508,large hail,Tresigallo ,Italy,44.82,11.9,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1423,IT_22507,large hail,Migliaro ,Italy,44.79,11.98,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1424,IT_22506,large hail,Migliaro ,Italy,44.79,11.98,,,report confirmed by reliable source,2019-08-13 16:30:00
1425,IT_22483,large hail,Sermide ,Italy,44.99,11.31,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1426,IT_22482,large hail,Ceneselli ,Italy,45.02,11.37,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1427,IT_22481,large hail,Felonica ,Italy,44.98,11.34,,00 cm,report confirmed by reliable source,2019-08-13 16:30:00
1428,IT_22511,large hail,Copparo ,Italy,44.89,11.83,,00 cm,report confirmed by reliable source,2019-08-13 16:15:00
1429,IT_22505,large hail,Copparo ,Italy,44.89,11.83,,,report confirmed by reliable source,2019-08-13 16:15:00
1430,IT_22480,large hail,Masi Torello ,Italy,44.83,11.68,,00 cm,report confirmed by reliable source,2019-08-13 16:00:00
1431,IT_22484,large hail,Palena ,Italy,41.98,14.13,,00 cm,report confirmed by reliable source,2019-08-13 15:00:00
1432,IT_22479,large hail,Adria ,Italy,45.06,12.04,,00 cm,report confirmed by reliable source,2019-08-13 15:00:00
1433,IT_22434,large hail,Tignale ,Italy,45.74,10.72,< 3 km,3 cm,plausibility check passed,2019-08-12 18:00:00
1434,IT_22463,large hail,San Zeno di Montagna ,Italy,45.63,10.72,,00 cm,report confirmed by reliable source,2019-08-12 17:00:00
1435,IT_22462,large hail,Torri del Benaco ,Italy,45.61,10.69,,00 cm,report confirmed by reliable source,2019-08-12 17:00:00
1436,IT_22446,large hail,Prevalle ,Italy,45.55,10.41,,00 cm,report confirmed by reliable source,2019-08-12 17:00:00
1437,IT_22445,large hail,Polpenazze del Garda ,Italy,45.55,10.5,,00 cm,report confirmed by reliable source,2019-08-12 17:00:00
1438,IT_22433,large hail,Rosignano Monferrato ,Italy,45.08,8.4,< 5 km,00 cm,report confirmed by reliable source,2019-08-11 16:00:00
1439,IT_22429,large hail,Cella Monte ,Italy,45.07,8.39,< 5 km,00 cm,report confirmed by reliable source,2019-08-11 16:00:00
1440,IT_22428,large hail,Casale Monferrato ,Italy,45.12,8.43,< 5 km,00 cm,report confirmed by reliable source,2019-08-11 16:00:00
1441,IT_22432,large hail,Montiglio Monferrato ,Italy,45.06,8.1,,,report confirmed by reliable source,2019-08-11 15:30:00
1442,IT_22431,large hail,Castelnuovo Don Bosco ,Italy,45.04,7.96,,,report confirmed by reliable source,2019-08-11 15:30:00
1443,IT_22427,large hail,Cerreto d''Asti ,Italy,45.05,8.04,,00 cm,report confirmed by reliable source,2019-08-11 15:30:00
1444,IT_22426,large hail,Cerreto d''Asti ,Italy,45.05,8.04,,00 cm,report confirmed by reliable source,2019-08-11 15:30:00
1445,IT_22425,large hail,Cocconato ,Italy,45.09,8.04,,00 cm,report confirmed by reliable source,2019-08-11 15:30:00
1446,IT_22424,large hail,Passerano Marmorito ,Italy,45.05,8.0,,00 cm,report confirmed by reliable source,2019-08-11 15:30:00
1447,IT_22430,large hail,Andezeno ,Italy,45.04,7.87,,,report confirmed by reliable source,2019-08-11 15:15:00
1448,IT_22422,large hail,Leini ,Italy,45.18,7.71,,00 cm,report confirmed by reliable source,2019-08-11 15:00:00
1449,IT_22402,large hail,San Pietro di Morubio ,Italy,45.25,11.18,,00 cm,report confirmed by reliable source,2019-08-07 18:00:00
1450,IT_22401,large hail,Isola della Scala ,Italy,45.27,11.01,,00 cm,report confirmed by reliable source,2019-08-07 18:00:00
1451,IT_22398,large hail,San Pietro di Morubio ,Italy,45.25,11.18,,00 cm,report confirmed by reliable source,2019-08-07 18:00:00
1452,IT_22397,large hail,Bovolone ,Italy,45.26,11.12,,,report confirmed by reliable source,2019-08-07 18:00:00
1453,IT_22406,large hail,Concamarise ,Italy,45.21,11.14,,00 cm,report confirmed by reliable source,2019-08-07 17:30:00
1454,IT_22395,large hail,Cerea ,Italy,45.21,11.19,,00 cm,report confirmed by reliable source,2019-08-07 17:30:00
1455,IT_22410,large hail,Orzinuovi ,Italy,45.4,9.93,,00 cm,report confirmed by reliable source,2019-08-07 15:45:00
1456,IT_22389,large hail,Vendrogno ,Italy,46.04,9.34,,00 cm,report confirmed by reliable source,2019-08-07 06:00:00
1457,IT_22384,large hail,San Pietro di Morubio ,Italy,45.24,11.23,,00 cm,report confirmed by reliable source,2019-08-06 23:00:00
1458,IT_22383,large hail,Bovolone ,Italy,45.3,11.08,,00 cm,report confirmed by reliable source,2019-08-06 22:30:00
1459,IT_22378,large hail,Oppeano ,Italy,45.33,11.08,,,report confirmed by reliable source,2019-08-06 22:30:00
1460,IT_22377,large hail,Isola Rizza ,Italy,45.29,11.2,,00 cm,report confirmed by reliable source,2019-08-06 22:30:00
1461,IT_22380,large hail,Castel d''Azzano ,Italy,45.36,10.96,,,report confirmed by reliable source,2019-08-06 22:25:00
1462,IT_22373,large hail,Riese Pio X ,Italy,45.71,11.93,,00 cm,report confirmed by reliable source,2019-08-06 20:00:00
1463,IT_22372,large hail,Loria ,Italy,45.72,11.86,,00 cm,report confirmed by reliable source,2019-08-06 20:00:00
1464,IT_22371,large hail,Castello di Godego ,Italy,45.69,11.88,,00 cm,report confirmed by reliable source,2019-08-06 20:00:00
